TimeSinceStart,IsLeftTracked,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,IsRightTracked,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2082314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4088454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6177535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8267169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.035554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.244101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.452775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.661394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.869653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.078468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.28727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.495844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.704391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.912902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.121513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.329802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.537881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.746552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.955938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.164264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.372333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.581101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.78937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.996206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.204866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.62176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.830805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.039394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.247904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.456306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.664802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.873054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.081153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.290063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.498586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.707063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.916121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.124378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.332647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.541109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.749946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.9573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.165547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.37496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.58283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.791514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.999451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.20765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.41603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.62457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.83335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.04126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.2497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.45798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.66676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.87487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.08291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.29246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.49997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.70855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.91691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.12534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.33339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.54177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.74986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.95872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.16695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.37489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.58374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.7914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.99985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.20797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.41621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.62472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.83381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
