TimeSinceStart,PosX,PosY,PosZ,RotX,RotY,RotZ,CurrentSpeed,SteeringAngle,AccPedal,BrakePedal
0,1,0,0,0,0,0,0,0,0,0
0.2082314,1,0,0,0,0,0,0,0,0,0
0.4088454,1,0,0,0,0,0,0,0,0,0
0.6177535,1,0,0,0,0,0,0,0,0,0
0.8267169,1,0,0,0,0,0,0,0,0,0
1.035554,1,0,0,0,0,0,0,0,0,0
1.244101,1,0,0,0,0,0,0,0,0,0
1.452775,1,0,0.1236438,0,0,0,0,0,0,0
1.661394,1,0,0.4073222,0,0,0,0,0,0,0
1.869653,1,0,0.7396108,0,0,0,0,0,0,0
2.078468,1,0,1.034916,0,0,0,0,0,0,0
2.28727,1,0,1.05028,0,0,0,0,0,0,0
2.495844,1,0,1.05028,0,0,0,0,0,0,0
2.704391,1,0,1.048165,0,0,0,0,0,0,0
2.912902,1,0,0.7237894,0,0,0,0,0,0,0
3.121513,1,0,0.3084647,0,0,0,0,0,0,0
3.329802,1,0,0.04294897,0,0,0,0,0,0,0
3.537881,1,0,0.04294897,0,0,0,0,0,0,0
3.746552,1,0,0.04294897,0,0,0,0,0,0,0
3.955938,1,0,0.04294897,0,0,0,0,0,0,0
4.164264,1,0,0.04294897,0,0,0,0,0,0,0
4.372333,1,0,0.04294897,0,0,0,0,0,0,0
4.581101,1,0,0.04294897,0,0,0,0,0,0,0
4.78937,1,0,0.04294897,0,0,0,0,0,0,0
4.996206,1,0,0.04294897,0,0,0,0,0,0,0
5.204866,1,0,0.04294897,0,0,0,0,0,0,0
5.4138,1,0,0.04294897,0,0,0,0,0,0,0
5.62176,1,0,0.04294897,0,0,0,0,0,0,0
5.830805,1,0,0.04294897,0,0,0,0,0,0,0
6.039394,1,0,0.04294897,0,0,0,0,0,0,0
6.247904,1,0,0.04294897,0,0,0,0,0,0,0
6.456306,1,0,0.04294897,0,0,0,0,0,0,0
6.664802,1,0,0.04294897,0,0,0,0,0,0,0
6.873054,1,0,0.04294897,0,0,0,0,0,0,0
7.081153,1,0,0.07360973,0,0,0,0,0,0,0
7.290063,1,0,0.4023655,0,0,0,0,0,0,0
7.498586,1,0,0.6949249,0,0,0,0,0,0,0
7.707063,1,0,0.5848809,0,0,0,0,0,0,0
7.916121,1,0,0.2614576,0,0,0,0,0,0,0
8.124378,1,0,-0.08641795,0,0,0,0,0,0,0
8.332647,1,0,-0.4250807,0,0,0,0,0,0,0
8.541109,1,0,-0.7578107,0,0,0,0,0,0,0
8.749946,1,0,-1.090852,0,0,0,0,0,0,0
8.9573,1,0,-1.421973,0,0,0,0,0,0,0
9.165547,1,0,-1.754483,0,0,0,0,0,0,0
9.37496,1,0,-2.0698,0,0,0,0,0,0,0
9.58283,1,0,-2.074884,0,0,0,0,0,0,0
9.791514,1,0,-2.074884,0,0,0,0,0,0,0
9.999451,1,0,-1.987591,0,0,0,0,0,0,0
10.20765,1,0,-1.758909,0,0,0,0,0,0,0
10.41603,1,0,-1.552839,0,0,0,0,0,0,0
10.62457,1,0,-1.352972,0,0,0,0,0,0,0
10.83335,1,0,-1.152814,0,0,0,0,0,0,0
11.04126,1,0,-0.9537287,0,0,0,0,0,0,0
11.2497,1,0,-0.7553921,0,0,0,0,0,0,0
11.45798,1,0,-0.5612469,0,0,0,0,0,0,0
11.66676,1,0,-0.3673268,0,0,0,0,0,0,0
11.87487,1,0,-0.1711178,0,0,0,0,0,0,0
12.08291,1,0,0.04038651,0,0,0,0,0,0,0
12.29246,1,0,0.2717158,0,0,0,0,0,0,0
12.49997,1,0,0.5246475,0,0,0,0,0,0,0
12.70855,1,0,0.7971438,0,0,0,0,0,0,0
12.91691,1,0,1.079349,0,0,0,0,0,0,0
13.12534,1,0,1.361259,0,0,0,0,0,0,0
13.33339,1,0,1.655246,0,0,0,0,0,0,0
13.54177,1,0,1.73537,0,0,0,0,0,0,0
13.74986,1,0,1.73537,0,0,0,0,0,0,0
13.95872,1,0,1.73537,0,0,0,0,0,0,0
14.16695,1,0,1.73537,0,0,0,0,0,0,0
14.37489,1,0,1.73537,0,0,0,0,0,0,0
14.58374,1,0,1.73537,0,0,0,0,0,0,0
14.7914,1,0,1.73537,0,0,0,0,0,0,0
14.99985,1,0,1.73537,0,0,0,0,0,0,0
15.20797,1,0,1.73537,0,0,0,0,0,0,0
15.41621,1,0,1.73537,0,0,0,0,0,0,0
15.62472,1,0,1.73537,0,0,0,0,0,0,0
15.83381,1,0,1.73537,0,0,0,0,0,0,0
